year,Region,Happyness,GDP,Social,Health,Choices,Generosity,Corruption,Dystopia
2020,Commonwealth of Independent States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Middle East and North Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,North America and ANZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,South Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Western Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Commonwealth of Independent States,0.06891487362354294,0.2544292500160372,-0.2749655258405878,-0.260027254384185,0.30547606039445313,0.013714175033019676,0.03614487792141043,0.44730931842225496
2021,Middle East and North Africa,0.01446245323388447,-0.07333741031607979,-0.36923276940323985,-0.2802503114863183,0.06492497786895483,-1.3516157180267417e-05,-0.4396227091776351,0.3862781142523531
2021,North America and ANZ,-0.017850971339097972,0.11166795833597257,-0.272672503016063,-0.21956138675120065,0.006167235301510387,-0.12619989449041333,-0.04748867745525904,0.17753217160472143
2021,South Asia,-0.05542482400465806,0.022728901482760553,-0.5129115472541543,-0.30232791640473694,0.05416376436714859,0.06917992135241319,-0.11035187848959811,0.12880394145353405
2021,Western Europe,0.0007657902911162917,0.12690076357804594,-0.29075885842942273,-0.2204898572342754,0.04596313357053613,-0.1579779547090054,-0.01560184299336884,0.2385981992093866
2022,Commonwealth of Independent States,0.11474117282094193,0.8079669783172917,-0.18187654846938978,-0.16556264856088954,0.4807917903275212,0.05291859064203153,0.7614462924663978,0.06253099990072883
2022,Middle East and North Africa,0.032645031196667264,0.3126022836292011,-0.32573158108622186,0.04656516387553727,0.15660726073184508,-0.03922867238631049,-0.37128401517490767,0.08094308291229182
2022,North America and ANZ,-0.028636220421957296,0.4489328054054209,-0.17235146894931316,-0.23423128549647884,0.023247234666196534,-0.22920885001796623,0.0463407961088497,-0.12356986531238531
2022,South Asia,-0.10506547074952932,0.644678697885194,-0.4799556302889415,-0.1637831054780181,0.1099128095981035,-0.18630684700288233,0.029888219482484813,-0.26300339463465855
2022,Western Europe,-0.006580879066501591,0.47983033985473406,-0.20467562260313027,-0.21493892030715422,0.07401738895453362,-0.3781438043315174,0.07297156748900446,-0.05953021507335122
2023,Commonwealth of Independent States,0.11189073315794584,0.7400560996136657,0.024735572037415693,-0.4918949232231832,0.724981557020009,0.4841671623411615,0.6578318046742567,-0.06439794749537629
2023,Middle East and North Africa,0.032645031196667264,0.30445579932428757,-0.057803807588225065,-0.3879293987442707,0.237710818649017,-0.12419484421609245,-0.4806259255792716,0.062109333315615196
2023,North America and ANZ,-0.03748565556686759,0.4450915201312815,0.033863989965672824,-0.4709056519203002,0.01858905302128213,-0.22565681706874027,0.0349675265859274,-0.17322209227753604
2023,South Asia,-0.07290696481480843,0.6624911025554309,-0.12271349038603434,-0.5942616251431804,0.212288329022221,-0.32156454789686245,-0.06652684787332225,-0.22231363689785166
2023,Western Europe,0.02032318446028388,0.4831234924781624,0.04578271994595048,-0.4582880302371967,0.15357423258079544,-0.3102967772029474,0.14921197144851592,-0.050902051908886595
2024,Commonwealth of Independent States,0.06847634444462052,0.7298054009414202,-0.004780445177842325,-0.2657523820098393,0.9754325997815347,0.5961797783669094,1.5903621948035263,-0.3988836642184457
2024,Middle East and North Africa,0.07966893972110578,0.27186986210463343,-0.0152912826420484,-0.05922481658841604,0.49865270064339673,-0.0784438286154407,-0.3439485375738167,0.03243190970873071
2024,North America and ANZ,-0.04592027343936019,0.4135929808833376,0.0164471437735288,-0.3144267319706663,0.1334908669291706,-0.1830324216780287,0.0463407961088497,-0.2839146716585601
2024,South Asia,-0.05995723088136367,0.6587801849157979,-0.17412472085176625,-0.2696709252577247,0.3268272764967285,-0.3172706526303869,-0.1410293999209913,-0.2824051334230696
2024,Western Europe,0.016859976977084634,0.455814421942415,0.031410299201666235,-0.2974595451612318,0.3556067433685389,-0.23615929722801984,0.24451247639790497,-0.18349661818632154
